WORDS,DEFINITIONS,CONJUGATIONS
"['разда́ться', 'pf']","['imperfective', 'раздава́ться', 'Definition: \n to  sound , to  ring out  (usually unexpectedly), to  go off  (e.g. telephone, gunshot)']","['Я разда́мся', 'Ты разда́шься', 'Они разда́стся']"
"['разойти́сь', 'pf']","['imperfective', 'расходи́ться', 'Definition: \n to  go away , to  disperse  (in different directions), to  spread ']","['Я разойду́сь', 'Ты разойдёшься', 'Они разойдётся']"
"['рассы́паться', 'pf']","['imperfective', 'рассыпа́ться', 'Definition: \n to  crumble , to  fall to pieces ; to  disintegrate ']","['Я рассы́плюсь', 'Ты рассы́плешься', 'Они рассы́плется']"
"['реве́ть', 'impf']","['perfective', 'взреве́ть', 'Definition: \n to  roar , to  bellow , to  howl ']","['Я реву́', 'Ты ревёшь', 'Они реву́т']"
"['сбежа́ть', 'pf']","['imperfective', 'сбега́ть', 'Definition: \n to  run down  (from)']","['Я сбегу́', 'Ты сбежи́шь', 'Они сбежи́т']"
"['сда́ть', 'pf']","['imperfective', 'сдава́ть', 'Definition: \n ( transitive )  to  deliver , to  hand in , to  hand over ']","['Я сда́м', 'Ты сда́шь', 'Они сда́ст']"
"['смо́чь', 'pf']","['imperfective', 'мо́чь', 'Definition: \n to be  able , to  manage']","['Я смогу́', 'Ты смо́жешь', 'Они смо́жет']"
"['созда́ть', 'pf']","['imperfective', 'создава́ть', 'Definition: \n to  create ']","['Я созда́м', 'Ты созда́шь', 'Они созда́ст']"
"['сойти́', 'pf']","['imperfective', 'сходи́ть', 'Definition: \n to  go down , to  come down , to  descend , to  get off ']","['Я сойду́', 'Ты сойдёшь', 'Они сойдёт']"
"['сче́сть', 'pf']","['imperfective', 'счита́ть', 'Definition: \n to  compute , to  count , to  reckon']","['Я сочту́', 'Ты сочтёшь', 'Они сочтёт']"
"['съе́сть', 'pf']","['imperfective', 'е́сть', 'Definition: \n to  eat , to eat up']","['Я съе́м', 'Ты съе́шь', 'Они съе́ст']"
"['убежа́ть', 'pf']","['imperfective', 'убега́ть', 'Definition: \n to  run away , to  make off , to  flee ']","['Я убегу́', 'Ты убежи́шь', 'Они убежи́т']"
"['уда́ться', 'pf']","['imperfective', 'удава́ться', 'Definition: \n to  turn out  well, to be a  success ']","['Я уда́мся', 'Ты уда́шься', 'Они уда́стся']"
"['уе́хать', 'pf']","['imperfective', 'уезжа́ть', 'Definition: \n to  go away , to  drive off , to  leave , to  depart  (by conveyance)']","['Я уе́ду', 'Ты уе́дешь', 'Они уе́дет']"
"['уйти́', 'pf']","['imperfective', 'уходи́ть', 'Definition: \n to  leave , to  depart , to  go  (away) (by foot) ']","['Я уйду́', 'Ты уйдёшь', 'Они уйдёт']"
"['уче́сть', 'pf']","['imperfective', 'учи́тывать', 'Definition: \n to  take into account , to take into  consideration , to  appreciate   ( to be aware of )']","['Я учту́', 'Ты учтёшь', 'Они учтёт']"
"['хоте́ть', 'impf']","['perfective', 'захоте́ть', 'Definition: \n to  want , to  desire']","['Я хочу́', 'Ты хо́чешь', 'Они хотя́т']"
